id,Director
82696,Meryl Streep
424,Liam Neeson
59436,Owen Wilson
676,Ben Affleck
8224,Nicolas Cage
210577,Ben Affleck
96,Eddie Murphy
1852,Nicolas Cage
1832,Ben Affleck
2255,Ben Affleck
544,Cameron Diaz
10358,Seth Rogen
48988,Owen Wilson
1262,Will Ferrell
8699,Will Ferrell
12133,Will Ferrell
9718,Will Ferrell
27581,Will Ferrell
109443,Will Ferrell
225574,Liam Neeson
1581,Cameron Diaz
48138,Liam Neeson
920,Owen Wilson
1701,Nicolas Cage
707,Roger Moore
699,Roger Moore
700,Roger Moore
195589,Seth Rogen
49013,Owen Wilson
209112,Ben Affleck
4327,Cameron Diaz
325133,Seth Rogen
9327,Eddie Murphy
9471,Cameron Diaz
10024,Cameron Diaz
1621,Eddie Murphy
9620,Ben Affleck
192141,Owen Wilson
2059,Nicolas Cage
10719,Will Ferrell
253,Roger Moore
1893,Liam Neeson
682,Roger Moore
193610,Cameron Diaz
10708,Eddie Murphy
306,Eddie Murphy
10756,Eddie Murphy
10808,Eddie Murphy
2757,Nicolas Cage
14306,Owen Wilson
71676,Nicolas Cage
260346,Liam Neeson
82675,Liam Neeson
10184,Ben Affleck
691,Roger Moore
39513,Seth Rogen
698,Roger Moore
75174,Liam Neeson
4964,Seth Rogen
15512,Seth Rogen
8007,Owen Wilson
13811,Nicolas Cage
76494,Cameron Diaz
40805,Seth Rogen
82695,Hugh Jackman
9488,Antonio Banderas
13223,Clint Eastwood
70,Clint Eastwood
33,Clint Eastwood
11901,Clint Eastwood
5551,Clint Eastwood
10724,Clint Eastwood
39254,Hugh Jackman
65754,Daniel Craig
37799,Jesse Eisenberg
1124,Hugh Jackman
10022,Vin Diesel
7451,Vin Diesel
36668,Hugh Jackman
10634,Ice Cube
8068,Antonio Banderas
1428,Antonio Banderas
10764,Daniel Craig
13680,Dwayne Johnson
184315,Dwayne Johnson
13836,Dwayne Johnson
12279,Antonio Banderas
168259,Vin Diesel
127585,Hugh Jackman
36557,Daniel Craig
291805,Jesse Eisenberg
1656,Antonio Banderas
37724,Daniel Craig
206647,Daniel Craig
76170,Hugh Jackman
9342,Antonio Banderas
1266,Keanu Reeves
817,Mike Myers
10611,Ice Cube
168530,Ice Cube
816,Mike Myers
818,Mike Myers
72559,Dwayne Johnson
604,Keanu Reeves
75656,Jesse Eisenberg
808,Mike Myers
603,Keanu Reeves
4836,Daniel Craig
809,Mike Myers
46195,Jesse Eisenberg
605,Keanu Reeves
10471,Ice Cube
172385,Jesse Eisenberg
10192,Mike Myers
9334,Dwayne Johnson
11637,Ice Cube
10200,Keanu Reeves
51497,Vin Diesel
1637,Keanu Reeves
2787,Vin Diesel
16614,Jesse Eisenberg
302699,Dwayne Johnson
87421,Vin Diesel
21301,Ice Cube
